asset_id,display_name_zh,runtime_name,category,source_file,source_object,source_version,mobile_policy,render_policy,triangle_budget,material_set,texture_set,landmark_id,status
CL.BLD.CatHouse.01,猫咪小屋,CL_BLD_CatHouse_01,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.007,20260630,required,required,21197,MAT_CL_CatHouse,T_CL_CatHouse_BaseColor_1024.png,CAT_HOUSE,READY
CL.BLD.FishShop.01,鱼干超市,CL_BLD_FishShop_01,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.008,20260630,required,required,20908,MAT_CL_FishShop,T_CL_FishShop_BaseColor_1024.png,FISH_SHOP,READY
CL.BLD.FocusHouse.01,专注小屋,CL_BLD_FocusHouse_01,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,Mesh_0.001,20260630,required,required,10573,MAT_CL_FocusHouse,T_CL_FocusHouse_BaseColor_1024.png,FOCUS_HOUSE,READY
CL.BLD.Source.002,,CL_BLD_Source_002,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,Mesh_0.003,20260630,required,required,4110,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.BLD.Source.003,,CL_BLD_Source_003,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.005,20260630,required,required,4189,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.BLD.Source.008,,CL_BLD_Source_008,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.036,20260630,required,required,655,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.BLD.Source.009,,CL_BLD_Source_009,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.058,20260630,required,required,569,MAT_CL_TownAtlas_01,T_CL_TownAtlas_BaseColor_01_1024.png,,READY
CL.BLD.Source.010,,CL_BLD_Source_010,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.108,20260630,required,required,492,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.BLD.Source.011,,CL_BLD_Source_011,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.115,20260630,required,required,941,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.BLD.Source.012,,CL_BLD_Source_012,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.120,20260630,required,required,905,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.BLD.Source.013,,CL_BLD_Source_013,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.130,20260630,required,required,824,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.BLD.Source.014,,CL_BLD_Source_014,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.135,20260630,required,required,775,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.BLD.Source.015,,CL_BLD_Source_015,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.136,20260630,required,required,752,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.BLD.Source.016,,CL_BLD_Source_016,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.141,20260630,required,required,523,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.BLD.Source.017,,CL_BLD_Source_017,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.145,20260630,required,required,520,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.BLD.Source.018,,CL_BLD_Source_018,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.147,20260630,required,required,878,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.BLD.Source.019,,CL_BLD_Source_019,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.150,20260630,required,required,689,MAT_CL_TownAtlas_02,T_CL_TownAtlas_BaseColor_02_1024.png,,READY
CL.BLD.Source.020,,CL_BLD_Source_020,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.158,20260630,required,required,443,MAT_CL_TownAtlas_03,T_CL_TownAtlas_BaseColor_03_1024.png,,READY
CL.BLD.Source.021,,CL_BLD_Source_021,BLD,03-3d-models/catlife-town/current/catlife_v2_island_grass_style_no_skybox_20260630.blend,node_0.160,20260630,required,required,377,MAT_CL_TownAtlas_03,T_CL_TownAtlas_BaseColor_03_1024.png,,READY
